Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Static Store For Cloudfront,S3 Standard,0,376.83,4521.96,USD,S3 Standard storage (16 TB per month)
My Estimate,US East (N. Virginia),Static Store For Cloudfront,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Application Load Balancer,0,18.77,225.24,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,770.13,9241.56,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,2010.75,24129.00,USD,"Working days per month (22), DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (16 TB per month), DT Intra-Region: (0 TB per month), Number of Site-to-Site VPN Connections (0), Data transfer cost (1443.75), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),"2 x Web, 2 x App Servers",Amazon EC2,0,1161.28,13935.36,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (50 GB), Instance type (m5.xlarge)"
My Estimate,US East (N. Virginia),Replica RDS MySQL,Amazon RDS for MySQL,0,5629.4,67552.80,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (1), Instance type (db.r5.8xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (0 TB)"
My Estimate,US East (N. Virginia),Main RDS MySQL,Amazon RDS for MySQL,0,5629.4,67552.80,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (1), Instance type (db.r5.8xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon ElastiCache,0,3595.25,43143.00,USD,Nodes ( 1 instances of type Memcached  Memory optimized  cache r6g.12xlarge  OnDemand )



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
